Genus,species,Strain,FileName,Marine,Ome,Taxa,PennateCentric,PennateCentric_citekey,Rad1_um,Rad2_um,Rad3_um,Rad_ref,Rad_citekey,Flagella,Flagella_citekey,GenomeSize_mbp,GeneModels_count,Genome_ref,Genome_citekey,Database,AccessionInfo,LiveLink,Latitude,Longitude,LogLat_ref,LogLat_citekey,ColonySpecies,Colony_citekey,ColonyCitation_other,Notes
Guillardia,theta,CCMP2712,Guillardia_theta_CCMP2712-aa-gen,yes,Genome,Cryptophyte,,,2.5,2.5,4.75,https://ncma.bigelow.org/ccmp2712#.XTiTNC0ZNQJ,[@re3data.orgBigelowNationalCenter2017],yes,[@hillGuillardiaThetaGen1990],87.16,24840,,[@curtisAlgalGenomesReveal2012],JGI,16067,https://mycocosm.jgi.doe.gov/Guith1/Guith1.home.html,41.23,-73.06,https://ncma.bigelow.org/ccmp2712#.Xnj9JtNKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@re3data.orgBigelowNationalCenter2017],https://ncma.bigelow.org/CCMP2712,
Guillardia,theta,CCMP2712,Guillardia_theta_CCMP2712-dna-trans,yes,Transcriptome,Cryptophyte,,,2.5,2.5,4.75,https://ncma.bigelow.org/ccmp2712#.XTiTNC0ZNQJ,[@re3data.orgBigelowNationalCenter2017],yes,[@hillGuillardiaThetaGen1990],1,0,,[@curtisAlgalGenomesReveal2012],JGI,16067,https://mycocosm.jgi.doe.gov/Guith1/Guith1.home.html,41.23,-73.06,https://ncma.bigelow.org/ccmp2712#.Xnj9JtNKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@re3data.orgBigelowNationalCenter2017],https://ncma.bigelow.org/CCMP2712,
Phaeodactylum,tricornutum,CCAP1055/1,Phaeodactylum_tricornutum_CCAP10551-aa-gen,yes,Genome,Diatom,Pennate,[@karlsonNordicMicroalgae2020],1.75,1.75,21,http://nordicmicroalgae.org/taxon/Phaeodactylum%20tricornutum,[@karlsonNordicMicroalgae2020],no,[@iwasaMotilityDiatomPhaeodactylum1972],27.451,10402,,[@bowlerPhaeodactylumGenomeReveals2008],NCBI,ASM15095v2,https://www.ncbi.nlm.nih.gov/assembly/GCF_000150955.2/,54.00,4.00,https://ncma.bigelow.org/ccmp632#.Xnkb39NKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@ovaozcanEvaluationInteractionTemperature2020],https://www.sciencedirect.com/science/article/pii/S1369703X1930395X,
Phaeodactylum,tricornutum,CCAP1055/1,Phaeodactylum_tricornutum_CCAP10551-dna-trans,yes,Transcriptome,Diatom,Pennate,[@karlsonNordicMicroalgae2020],1.75,1.75,21,http://nordicmicroalgae.org/taxon/Phaeodactylum%20tricornutum,[@karlsonNordicMicroalgae2020],no,[@iwasaMotilityDiatomPhaeodactylum1972],1,0,,[@bowlerPhaeodactylumGenomeReveals2008],NCBI,ASM15095v2,https://www.ncbi.nlm.nih.gov/assembly/GCF_000150955.2/,54.00,4.00,https://ncma.bigelow.org/ccmp632#.Xnkb39NKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@ovaozcanEvaluationInteractionTemperature2020],https://www.sciencedirect.com/science/article/pii/S1369703X1930395X,
Fistulifera,solaris,JPCC_DA0580,Fistulifera_solaris_JPCCDA0580-aa-gen,yes,Genome,Diatom,Pennate,[@matsumotoMorphologicalMolecularPhylogenetic2014],1.9,1.9,3.375,,[@matsumotoMorphologicalMolecularPhylogenetic2014],no,[@nanjappaDiatomFlagellarGenes2017],49.74,20429,,[@tanakaOilAccumulationOleaginous2015],JGI,Fistulifera solaris JPCC DA0580: Fisso1_GeneCatalog_proteins_20200805.aa.fasta.gz,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Fisso0,28.15,129.24,https://www.researchgate.net/publication/265789510_Morphological_and_molecular_phylogenetic_analysis_of_the_high_triglyceride-producing_marine_diatom_Fistulifera_solaris_sp_nov_Bacillariophyceae,[@matsumotoMorphologicalMolecularPhylogenetic2014],0,[@matsumotoMorphologicalMolecularPhylogenetic2014a],https://onlinelibrary.wiley.com/doi/abs/10.1111/pre.12066,
Fistulifera,solaris,JPCC_DA0580,Fistulifera_solaris_JPCCDA0580-dna-trans,yes,Transcriptome,Diatom,Pennate,[@matsumotoMorphologicalMolecularPhylogenetic2014],1.9,1.9,3.375,,[@matsumotoMorphologicalMolecularPhylogenetic2014],no,[@nanjappaDiatomFlagellarGenes2017],1,0,,[@tanakaOilAccumulationOleaginous2015],JGI,Fistulifera solaris JPCC DA0580: Fisso1_GeneCatalog_transcripts_20200805.nt.fasta.gz,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Fisso1,28.15,129.24,https://www.researchgate.net/publication/265789510_Morphological_and_molecular_phylogenetic_analysis_of_the_high_triglyceride-producing_marine_diatom_Fistulifera_solaris_sp_nov_Bacillariophyceae,[@matsumotoMorphologicalMolecularPhylogenetic2014],0,[@matsumotoMorphologicalMolecularPhylogenetic2014a],https://onlinelibrary.wiley.com/doi/abs/10.1111/pre.12067,
Thalassiosira,pseudonana,CCMP1335,Chaetoceros_debilis_MM31A_1-aa-trans,yes,Transcriptome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],2.25,2.25,2.5,https://ncma.bigelow.org/ccmp1335#.XnkludNKhQI,[@re3data.orgBigelowNationalCenter2017],no,[@misumiGenomeAnalysisIts2008],32.1,11776,,[@armbrustGenomeDiatomThalassiosira2004],PicoPlaza,proteome.tps.tfa.gz,https://bioinformatics.psb.ugent.be/plaza/versions/pico-plaza/download,40.76,-72.82,https://ncma.bigelow.org/ccmp1335#.XnkludNKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@hevia-orubeMolecularMorphologicalAnalyses2016],https://doi.org/10.1080/09670262.2015.1077394,
Thalassiosira,pseudonana,CCMP1335,Thalassiosira_weissflogii_CCMP1010-aa-trans,yes,Transcriptome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],2.25,2.25,2.5,https://ncma.bigelow.org/ccmp1335#.XnkludNKhQI,[@re3data.orgBigelowNationalCenter2017],no,[@misumiGenomeAnalysisIts2008],1,0,,[@armbrustGenomeDiatomThalassiosira2004],NCBI,ASM14940v2,https://www.ncbi.nlm.nih.gov/genome/?term=txid35128[orgn],40.76,-72.82,https://ncma.bigelow.org/ccmp1335#.XnkludNKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@hevia-orubeMolecularMorphologicalAnalyses2016],https://doi.org/10.1080/09670262.2015.1077394,
Thalassiosira,oceanica,CCMP1005,Cyclotella_cryptica_CCMP332-aa-gen,yes,Genome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],4,4,4,https://ncma.bigelow.org/ccmp1005#.XzgWQ5NKi3I,[@re3data.orgBigelowNationalCenter2017],no,[@nanjappaDiatomFlagellarGenes2017],92.19,34642,,[@lommerRecentTransferIronRegulated2010],NCBI,PRJNA36595,https://www.ncbi.nlm.nih.gov/genome/3436,33.18,-65.85,,[@re3data.orgBigelowNationalCenter2017],0,[@bucciarelliEffectsIronlightColimitation2009],https://bg.copernicus.org/preprints/6/7175/2009/bgd-6-7175-2009.pdf,
Thalassiosira,oceanica,CCMP1005,Nannochloropsis_oceanica_CCMP1779-aa-gen,yes,Genome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],4,4,4,https://ncma.bigelow.org/ccmp1005#.XzgWQ5NKi3I,[@re3data.orgBigelowNationalCenter2017],no,[@nanjappaDiatomFlagellarGenes2017],1,0,,[@lommerRecentTransferIronRegulated2010],NCBI,PRJNA36595,https://www.ncbi.nlm.nih.gov/genome/3437,33.18,-65.85,,[@re3data.orgBigelowNationalCenter2017],0,[@bucciarelliEffectsIronlightColimitation2009],https://bg.copernicus.org/preprints/6/7175/2009/bgd-6-7175-2009.pdf,
