Genus,species,Strain,Taxa,Ome,(methyl)glyoxal oxidase,(R)-6-hydroxynicotine oxidase,(S)-2-hydroxy-acid oxidase,(S)-2-hydroxyglutarate dehydrogenase,(S)-2-hydroxypropylphosphonic acid epoxidase,(S)-6-hydroxynicotine oxidase,"[histone H3]-N6,N6-dimethyl-L-lysine4 FAD-dependent demethylase",16S rRNA (guanine527-N7)-methyltransferase,3-deoxy-alpha-D-manno-octulosonate 8-oxidase,3-hydroxyanthranilate oxidase,3-methyl-L-tyrosine peroxygenase,"3,4-dihydroxyphenylacetaldehyde synthase",4-hydroxymandelate oxidase,4-hydroxymandelate oxidase (decarboxylating),4-hydroxyphenylacetaldehyde synthase,5-(hydroxymethyl)furfural oxidase,7-chloro-L-tryptophan oxidase,abscisic-aldehyde oxidase,aclacinomycin-A oxidase,aclacinomycin-N oxidase,acyl-CoA oxidase,albonoursin synthase,Alcohol oxidase,aldehyde oxidase,alditol oxidase,Aryl-Alcohol oxidase,aryl-aldehyde oxidase,bacterial non-heme ferritin,cannabidiolic acid synthase,catalase,catalase-peroxidase,cellobiose dehydrogenase (acceptor),chloride peroxidase,chloride peroxidase (vanadium-containing),Cholesterol oxidase,choline oxidase,coproporphyrinogen oxidase,cyclohexylamine oxidase,cytochrome-c peroxidase,D-amino-acid oxidase,"D-arabinono-1,4-lactone oxidase",D-aspartate oxidase,D-glutamate oxidase,D-glutamate(D-aspartate) oxidase,D-mannitol oxidase,decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase,diamine oxidase,dichlorochromopyrrolate synthase,dihydrobenzophenanthridine oxidase,dihydroorotate dehydrogenase (fumarate),dimethylglycine dehydrogenase,dimethylglycine oxidase,dye decolorizing peroxidase,Ecdysone oxidase,ethanolamine oxidase,factor-independent urate hydroxylase,farnesylcysteine lyase,fatty-acid peroxidase,fatty-acid peroxygenase,Galactose oxidase,gamma-glutamylputrescine oxidase,glucooligosaccharide oxidase,Glucose oxidase,glutathione oxidase,glutathione peroxidase,Glycerol oxidase,glycerol-3-phosphate oxidase,glycine oxidase,glyoxylate oxidase,Hexose oxidase,hydrazine synthase,hydrogen peroxide-dependent heme synthase,hydroxyphytanate oxidase,indole-3-acetaldehyde oxidase,iodide peroxidase,L-amino-acid oxidase,L-arginine oxidase,L-ascorbate peroxidase,L-aspartate oxidase,L-galactonolactone oxidase,L-glutamate oxidase,L-gulonolactone oxidase,L-lysine 6-oxidase,L-lysine oxidase,L-pipecolate oxidase,L-saccharopine oxidase,L-sorbose oxidase,L-tyrosine peroxygenase,lignin peroxidase,long-chain-alcohol oxidase,manganese peroxidase,methanethiol oxidase,monoamine oxidase,myeloperoxidase,N1-acetylpolyamine oxidase,N6-methyl-lysine oxidase,N8-acetylspermidine oxidase (propane-1,NAD(P)H oxidase (H2O2-forming),NADH oxidase (H2O2-forming),NADH peroxidase,nitric oxide dioxygenase,nitric oxide reductase (cytochrome c),nitric-oxide synthase (NADPH),nitrite dismutase,nitrite reductase (NO-forming),nitroalkane oxidase,nitronate monooxygenase,non-specific polyamine oxidase,nucleoside oxidase (H2O2-forming),o-aminophenol oxidase,oxalate oxidase,oxazoline dehydrogenase,peroxidase,phenylacetaldehyde synthase,phenylalanine 2-monooxygenase,plant seed peroxygenase,"polyamine oxidase (propane-1,3-diamine-forming)",polyvinyl-alcohol oxidase,prenylcysteine oxidase,primary-amine oxidase,prosolanapyrone-II oxidase,protein-lysine 6-oxidase,protoporphyrinogen oxidase,putrescine oxidase,Pyranose oxidase,pyridoxal 5'-phosphate synthase,Pyridoxine 4-oxidase,pyrroloquinoline-quinone synthase,pyruvate oxidase,renalase,reticuline oxidase,ribulose-bisphosphate carboxylase,rifamycin-B oxidase,sarcosine oxidase,secondary-alcohol oxidase,spermine oxidase,steroid 9alpha-monooxygenase,sulfite oxidase,superoxide dismutase,superoxide oxidase,superoxide reductase,tetrahydroberberine oxidase,tetrahydrocannabinolic acid synthase,thiol oxidase,thymidylate synthase (FAD),tyrosinase,unspecific peroxygenase,vanillyl-alcohol oxidase,versatile peroxidase,xanthine dehydrogenase,xanthine oxidase
Alexandrium,fundyense,CCMP1719,Dinoflagellate,Transcriptome,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alexandrium,temarense,CCMP1771,Dinoflagellate,Transcriptome,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
Amphidinium,carterae,CCMP1314,Dinoflagellate,Transcriptome,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
Amphora,coffeaeformis,CCMP127,Diatom,Transcriptome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Asterionellopsis,glacialis,CCMP134,Diatom,Transcriptome,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Aureococcus,anophagefferens,CCMP1984,Pelagophyte,Genome,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
Aureococcus,anophagefferens,CCMP1984,Pelagophyte,Transcriptome,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Aureoumbra,lagunensis,CCMP1510,Pelagophyte,Transcriptome,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Bathycoccus,prasinos,RCC1105,Green,Genome,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Bathycoccus,prasinos,RCC1105,Green,Transcriptome,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
