,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genus,species,Strain,FileName,Marine,Ome,Taxa,PennateCentric,PennateCentric_citekey,Rad1_um,Rad2_um,Rad3_um,Rad_citekey,Flagella,Flagella_citekey,GenomeSize_mbp,GeneModels_count,Genome_ref,Genome_citekey,Database,AccessionInfo,LiveLink,Latitude,Longitude,LogLat_citekey,ColonySpecies,Colony_citekey,Notes
Guillardia,theta,CCMP2712,Guillardia_theta_CCMP2712-aa-gen,yes,Genome,Cryptophyte,,,2.5,2.5,4.75,[23],yes,[24],87.16,24840,,[25],JGI,16067,https://mycocosm.jgi.doe.gov/Guith1/Guith1.home.html,41.2264,-73.0639,[23],0,[23],
Guillardia,theta,CCMP2712,Guillardia_theta_CCMP2712-dna-trans,yes,Transcriptome,Cryptophyte,,,2.5,2.5,4.75,[23],yes,[24],1,0,,[25],JGI,16067,https://mycocosm.jgi.doe.gov/Guith1/Guith1.home.html,41.2264,-73.0639,[23],0,[23],
Phaeodactylum,tricornutum,CCAP1055/1,Phaeodactylum_tricornutum_CCAP10551-aa-gen,yes,Genome,Diatom,Pennate,[26],1.75,1.75,21,[26],no,[27],27.4507,10402,,[28],NCBI,ASM15095v2,https://www.ncbi.nlm.nih.gov/assembly/GCF_000150955.2/,54,4,[23],0,[29],
Phaeodactylum,tricornutum,CCAP1055/1,Phaeodactylum_tricornutum_CCAP10551-dna-trans,yes,Transcriptome,Diatom,Pennate,[26],1.75,1.75,21,[26],no,[27],1,0,,[28],NCBI,ASM15095v2,https://www.ncbi.nlm.nih.gov/assembly/GCF_000150955.2/,54,4,[23],0,[29],
Fistulifera,solaris,JPCC_DA0580,Fistulifera_solaris_JPCCDA0580-aa-gen,yes,Genome,Diatom,Pennate,[30],1.9,1.9,3.375,[30],no,[31],49.74,20429,,[32],JGI,Fistulifera solaris JPCC DA0580: Fisso1_GeneCatalog_proteins_20200805.aa.fasta.gz,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Fisso0,28.15,129.24,[30],0,[30],
Fistulifera,solaris,JPCC_DA0580,Fistulifera_solaris_JPCCDA0580-dna-trans,yes,Transcriptome,Diatom,Pennate,[30],1.9,1.9,3.375,[30],no,[31],1,0,,[32],JGI,Fistulifera solaris JPCC DA0580: Fisso1_GeneCatalog_transcripts_20200805.nt.fasta.gz,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Fisso1,28.15,129.24,[30],0,[30],
Thalassiosira,pseudonana,CCMP1335,Thalassiosira_pseudonana_CCMP1335-aa-gen,yes,Genome,Diatom,Centric,[23],2.25,2.25,2.5,[23],no,[33],32.1,11776,,[34],PicoPlaza,proteome.tps.tfa.gz,https://bioinformatics.psb.ugent.be/plaza/versions/pico-plaza/download,40.756,-72.82,[23],0,[35],
Thalassiosira,pseudonana,CCMP1335,Thalassiosira_pseudonana_CCMP1335-dna-trans,yes,Transcriptome,Diatom,Centric,[23],2.25,2.25,2.5,[23],no,[33],1,0,,[34],NCBI,ASM14940v2,https://www.ncbi.nlm.nih.gov/genome/?term=txid35128[orgn],40.756,-72.82,[23],0,[35],
Thalassiosira,oceanica,CCMP1005,Thalassiosira_oceanica_CCMP1005-aa-gen,yes,Genome,Diatom,Centric,[23],4,4,4,[23],no,[31],92.19,34642,,[36],NCBI,PRJNA36595,https://www.ncbi.nlm.nih.gov/genome/3436,33.1833,-65.85,[23],0,[37],
Thalassiosira,oceanica,CCMP1005,Thalassiosira_oceanica_CCMP1005-dna-trans,yes,Transcriptome,Diatom,Centric,[23],4,4,4,[23],no,[31],1,0,,[36],NCBI,PRJNA36595,https://www.ncbi.nlm.nih.gov/genome/3437,33.1833,-65.85,[23],0,[37],
Coscinodiscus,wailesii,CCMP2513,Coscinodiscus_wailesii_CCMP2513-aa-trans,yes,Transcriptome,Diatom,Centric,[23],44,44,44,[23],no,[31],1,0,,[38],MMETSP,MMETSP1066,https://figshare.com/articles/dataset/Marine_Microbial_Eukaryotic_Transcriptome_Sequencing_Project_re-assemblies/3840153,31.4322,-80.358,[23],0,[39],
