ECNumber,KO,EnzymeName,HyPe,HyPe_PriSec,HyPe_PriSec_citekey,NitOx,NitOx_PriSec,NitOx_PriSec_citekey,SupOx,SupOx_PriSec,SupOx_PriSec_citekey,Reaction,Reaction_citation,ECTreeL1,ECTreeL2,ECTreeL3,ProdAndScav,RemoveEnzyme,Notes
1.1.3.4,,Glucose oxidase,Production,Primary,,,,,,,,Glucose + O2Êâ†’ H2O2Ê+ Glucono - - lactone,[1],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.B4,,Glycerol oxidase,Production,Primary,,,,,,,,Glycerol + O2Êâ†’ H2O2Ê+ Glyceraldehyde,[2],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.5,K21840,Hexose oxidase,Production,Primary,,,,,,,,A hexose + O2Êâ†’ H2O2Ê+ A hexose lactone,[3],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.6,K03333,Cholesterol oxidase,Production,Primary,,,,,,,,Cholesterol + O2Êâ†’ H2O2Ê+ Cholest-5-en-3-one,[4],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.7,,Aryl-Alcohol oxidase,Production,Primary,,,,,,,,An Aromatic Primary Alcohol + O2Êâ†’ H2O2+ An aromatic Aldehyde,[5],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.8,K00103,L-gulonolactone oxidase,Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.9,K04618,Galactose oxidase,Production,Primary,,,,,,,,D-galactose + O2Êâ†’ H2O2Ê+ D-galacto-hexodialdose,[6],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.10,K23272,Pyranose oxidase,Production,Primary,,,,,,,,D-glucose + O2Êâ†’ H2O2Ê+ 2-dehydro-d-galactose,[7],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.11,,L-sorbose oxidase,Production,Primary,,,,,,,,L-sorbose + O2Êâ†’ H2O2Ê+ 5-dehydro-D-fructose,[8],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.12,K18607,Pyridoxine 4-oxidase,Production,Primary,,,,,,,,Pyridoxine + O2Êâ†’ H2O2Ê+ pyridoxal,[9],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.13,K17066,Alcohol oxidase,Production,Primary,,,,,,,,A primary alcohol + O2Êâ†’ H2O2Ê+ An aldehyde,[10],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.15,K00104;K11517,(S)-2-hydroxy-acid oxidase,Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,"previously listed as EC 1.1.3.1, glycolate oxidase"
1.1.3.16,K10724,Ecdysone oxidase,Production,Primary,,,,,,,,ecdysone + O2Êâ†’ H2O2Ê+ 3-dehydroecdysone,[11],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.17,K17755,choline oxidase,Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,1,0,
1.1.3.18,,secondary-alcohol oxidase,Production,Primary,,,,,,,,A Secondary Alcohol + O2Êâ†’ H2O2Ê+ An aldehyde,[12],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.19,,4-hydroxymandelate oxidase (decarboxylating),Production,Primary,,,,,,,,(S)-4-hydroxymandelate + O2Êâ†’ H2O2Ê+ CO2Ê+ 4-hydroxybenzaldehyde,[13],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.20,K17756,long-chain-alcohol oxidase,Production,Primary,,,,,,,,2 Long-chain alcohols + O2Êâ†’ H2O2Ê+ 2 long-chain aldehydes,[14],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.21,K00105,glycerol-3-phosphate oxidase,Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.27,,hydroxyphytanate oxidase,Production,Primary,,,,,,,,L-2-Hydroxyphytanate + O2Êâ†’ H2O2Ê+ 2-oxophytanate,[15],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.30,,polyvinyl-alcohol oxidase,Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.37,K00107,"D-arabinono-1,4-lactone oxidase",Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.38,K20153,vanillyl-alcohol oxidase,Production,Primary,,,,,,,,vanillyl alcohol + O2â†’ H2O2Ê+ vanillin,[6],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.39,,nucleoside oxidase (H2O2-forming),Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.40,,D-mannitol oxidase,Production,Primary,,,,,,,,D-mannitol + O2Êâ†’ H2O2Ê+ D-mannose,[16],Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.41,K00594,alditol oxidase,Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.42,K20550,prosolanapyrone-II oxidase,Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.45,K15949,aclacinomycin-N oxidase,Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.46,K16422,4-hydroxymandelate oxidase,Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.47,K16873,5-(hydroxymethyl)furfural oxidase,Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.3.48,K19714,3-deoxy-alpha-D-manno-octulosonate 8-oxidase,Production,,,,,,,,,,,Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor,,0,
1.1.5.13,K15736,(S)-2-hydroxyglutarate dehydrogenase,Production,,,,,,,,,,,,,,,0,
1.1.98.3,K16653,decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase,Production,,,,,,,,,,,,,,,0,
1.1.99.B3,,glucooligosaccharide oxidase,Production,,,,,,,,,,,,,,,0,
1.1.99.18,,cellobiose dehydrogenase (acceptor),Production,,,,,,,,,,,,,,,0,
1.2.3.1,K00157,aldehyde oxidase,Production,Primary,,,,,,,,An Aldehyde + H2O + O2Êâ†’ A carboxylate + H2O2,[17],Oxidoreductases,Acting on the aldehyde or oxo group of donors,With oxygen as acceptor,,0,
1.2.3.3,K00158,pyruvate oxidase,Production,,,,,,,,,,,,,,,0,
1.2.3.4,,oxalate oxidase,Production,Primary,,,,,,,,Oxalate + O2Ê+ 2 H2â†’ 2 CO2Ê+ H2O2,[18],Oxidoreductases,Acting on the aldehyde or oxo group of donors,With oxygen as acceptor,,0,
1.2.3.5,,glyoxylate oxidase,Production,Primary,,,,,,,,Glyoxylate + O2Ê+ H2O â†’ Oxalate + H2O2,[19],Oxidoreductases,Acting on the aldehyde or oxo group of donors,With oxygen as acceptor,,0,
1.2.3.7,K11817,indole-3-acetaldehyde oxidase,Production,Primary,,,,,,,,indol-3-acetaldehyde + H2O + O2Êâ†’ (indol-3-yl)acetate + H2O2,[20],Oxidoreductases,Acting on the aldehyde or oxo group of donors,With oxygen as acceptor,,0,
1.2.3.9,,aryl-aldehyde oxidase,Production,,,,,,,,,,,,,,1,0,
